rxnidx	rxnid
r_0909	AATA_c
r_0447	SACCD2_c
r_0425	IMPD_c
r_1286	METAT_c
r_0670	ASNS1_c
r_1488	ADNK1_c
r_0364	SO3R_c
r_1395	ACONTb_m
r_0415	ACONTa_m
r_1493	AHCi_c
r_0547	SHKK_c
r_1092	AASADy_c
r_1548	ACGAM6PS_c
r_0180	ACLS_m
r_0673	THRD_L_m
r_0578	M1PS_c
r_1076	ORNTACi_m
r_1361	PGI_c
r_1260	GF6PTA_c
r_0440	TRE6PP_c
r_1207	ACGK_m
r_1293	THRS_c
r_1463	FUM_c
r_0922	UMPK_c
r_1181	PHETA1_c
r_1088	ALATA_L_m
r_0150	PGM_c
r_1793	ILETA_m
r_1009	16GS_c
r_1462	FUM_m
r_0059	ME1_m
r_0666	ASPCT_c
r_0667	ASPK_c
r_0315	PYRDC_c
r_0561	TRE6PS_c
r_0437	PYK_c
r_0660	PRPPS_c
r_0296	GND_c
r_0779	GLYGS_c
r_0297	PGMT_c
r_0299	PFK_c
r_0067	ADSS_c
r_1010	13GS_c
r_1486	ADK1_c
r_0148	PGCD_c
r_0436	PDH_m
r_1168	GAPD_c
r_1362	G6PDH2i_c
r_1130	TPI_c
r_0007	CYTK1_c
r_0413	CTPS2_c
